filename,label
Image_1.jpg,running
Image_2.jpg,eating
Image_3.jpg,clapping
Image_4.jpg,clapping
Image_5.jpg,using_laptop
Image_6.jpg,clapping
Image_7.jpg,dancing
Image_8.jpg,clapping
Image_9.jpg,laughing
Image_10.jpg,sleeping
Image_11.jpg,listening_to_music
Image_12.jpg,texting
Image_13.jpg,texting
Image_14.jpg,texting
Image_15.jpg,using_laptop
Image_16.jpg,drinking
Image_17.jpg,listening_to_music
Image_18.jpg,using_laptop
Image_19.jpg,fighting
Image_20.jpg,dancing
Image_21.jpg,laughing
Image_22.jpg,laughing
Image_23.jpg,drinking
Image_24.jpg,cycling
Image_25.jpg,running
Image_26.jpg,running
Image_27.jpg,drinking
Image_28.jpg,running
Image_29.jpg,sleeping
Image_30.jpg,laughing
Image_31.jpg,running
Image_32.jpg,fighting
Image_33.jpg,laughing
Image_34.jpg,sitting
Image_35.jpg,sleeping
Image_36.jpg,sitting
Image_37.jpg,cycling
Image_38.jpg,eating
Image_39.jpg,clapping
Image_40.jpg,fighting
Image_41.jpg,fighting
Image_42.jpg,hugging
Image_43.jpg,texting
Image_44.jpg,eating
Image_45.jpg,drinking
Image_46.jpg,eating
Image_47.jpg,using_laptop
Image_48.jpg,fighting
Image_49.jpg,clapping
Image_50.jpg,sitting
Image_51.jpg,texting
Image_52.jpg,texting
Image_53.jpg,drinking
Image_54.jpg,clapping
Image_55.jpg,texting
Image_56.jpg,sitting
Image_57.jpg,fighting
Image_58.jpg,running
Image_59.jpg,laughing
Image_60.jpg,sitting
Image_61.jpg,clapping
Image_62.jpg,texting
Image_63.jpg,clapping
Image_64.jpg,calling
Image_65.jpg,hugging
Image_66.jpg,sitting
Image_67.jpg,using_laptop
Image_68.jpg,laughing
Image_69.jpg,texting
Image_70.jpg,fighting
Image_71.jpg,laughing
Image_72.jpg,dancing
Image_73.jpg,sitting
Image_74.jpg,texting
Image_75.jpg,sitting
Image_76.jpg,sitting
Image_77.jpg,fighting
Image_78.jpg,running
Image_79.jpg,cycling
Image_80.jpg,listening_to_music
Image_81.jpg,clapping
Image_82.jpg,calling
Image_83.jpg,eating
Image_84.jpg,texting
Image_85.jpg,running
Image_86.jpg,laughing
Image_87.jpg,eating
Image_88.jpg,hugging
Image_89.jpg,texting
Image_90.jpg,drinking
Image_91.jpg,cycling
Image_92.jpg,cycling
Image_93.jpg,eating
Image_94.jpg,sleeping
Image_95.jpg,running
Image_96.jpg,sleeping
Image_97.jpg,sleeping
Image_98.jpg,calling
Image_99.jpg,laughing
Image_100.jpg,running
Image_101.jpg,drinking
Image_102.jpg,texting
Image_103.jpg,texting
Image_104.jpg,running
Image_105.jpg,clapping
Image_106.jpg,laughing
Image_107.jpg,drinking
Image_108.jpg,sleeping
Image_109.jpg,hugging
Image_110.jpg,cycling
Image_111.jpg,clapping
Image_112.jpg,hugging
Image_113.jpg,sleeping
Image_114.jpg,using_laptop
Image_115.jpg,cycling
Image_116.jpg,eating
Image_117.jpg,sitting
Image_118.jpg,dancing
Image_119.jpg,eating
Image_120.jpg,running
Image_121.jpg,sleeping
Image_122.jpg,sitting
Image_123.jpg,dancing
Image_124.jpg,running
Image_125.jpg,laughing
Image_126.jpg,cycling
Image_127.jpg,sitting
Image_128.jpg,using_laptop
Image_129.jpg,fighting
Image_130.jpg,drinking
Image_131.jpg,sitting
Image_132.jpg,clapping
Image_133.jpg,clapping
Image_134.jpg,using_laptop
Image_135.jpg,eating
Image_136.jpg,laughing
Image_137.jpg,clapping
Image_138.jpg,laughing
Image_139.jpg,eating
Image_140.jpg,eating
Image_141.jpg,fighting
Image_142.jpg,listening_to_music
Image_143.jpg,running
Image_144.jpg,using_laptop
Image_145.jpg,using_laptop
Image_146.jpg,cycling
Image_147.jpg,fighting
Image_148.jpg,laughing
Image_149.jpg,sleeping
Image_150.jpg,clapping
Image_151.jpg,cycling
Image_152.jpg,drinking
Image_153.jpg,drinking
Image_154.jpg,calling
Image_155.jpg,texting
Image_156.jpg,laughing
Image_157.jpg,laughing
Image_158.jpg,calling
Image_159.jpg,using_laptop
Image_160.jpg,clapping
Image_161.jpg,sleeping
Image_162.jpg,using_laptop
Image_163.jpg,laughing
Image_164.jpg,texting
Image_165.jpg,cycling
Image_166.jpg,listening_to_music
Image_167.jpg,fighting
Image_168.jpg,dancing
Image_169.jpg,hugging
Image_170.jpg,fighting
Image_171.jpg,dancing
Image_172.jpg,dancing
Image_173.jpg,running
Image_174.jpg,clapping
Image_175.jpg,texting
Image_176.jpg,eating
Image_177.jpg,clapping
Image_178.jpg,sitting
Image_179.jpg,hugging
Image_180.jpg,laughing
Image_181.jpg,listening_to_music
Image_182.jpg,cycling
Image_183.jpg,clapping
Image_184.jpg,listening_to_music
Image_185.jpg,cycling
Image_186.jpg,listening_to_music
Image_187.jpg,texting
Image_188.jpg,laughing
Image_189.jpg,listening_to_music
Image_190.jpg,laughing
Image_191.jpg,calling
Image_192.jpg,laughing
Image_193.jpg,running
Image_194.jpg,drinking
Image_195.jpg,laughing
Image_196.jpg,clapping
Image_197.jpg,calling
Image_198.jpg,clapping
Image_199.jpg,texting
Image_200.jpg,clapping
Image_201.jpg,laughing
Image_202.jpg,texting
Image_203.jpg,texting
Image_204.jpg,dancing
Image_205.jpg,texting
Image_206.jpg,eating
Image_207.jpg,sitting
Image_208.jpg,drinking
